"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070588","calcium ion transmembrane transport","48/889","343/17512",0.139941690962099,2.75664667281021,7.59819839641874,1.6440723613865e-10,8.11185303108098e-07,7.5385044275785e-07,"PKD1L2/CNGA3/UBR3/TMEM37/EDNRB/PLCH1/FYN/GPM6A/MICU3/GRIN1/HTT/HPCA/HTR2A/ITPR1/CATSPER4/ATP1B1/ATP2B2/OPRM1/PDE4B/PLCG1/TPCN1/CHD7/CACNA2D3/PRKD1/PSEN2/JPH1/SLC24A3/CACNG8/TRPV4/BCL2/RYR2/SLC8A2/SLC8A1/CACNA1A/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CACNB4/AHNAK/TRPM8/CALCA/UBASH3B/TRPA1/CACNA2D2/CACNA2D4/ATG5/NOS1AP",48
"GO:0006816","calcium ion transport","54/889","440/17512",0.122727272727273,2.41754780652418,6.9642363809652,1.63497981996365e-09,4.03349521585032e-06,3.74840636619034e-06,"DNM1L/PKD1L2/CNGA3/UBR3/TMEM37/EDNRB/PLCH1/FYN/GPM6A/MICU3/GRIN1/HTT/HPCA/HTR2A/IL16/ITPR1/CATSPER4/ATP1B1/ATP2B2/OPRM1/PDE4B/PLCG1/TPCN1/CHD7/CACNA2D3/PRKD1/PSEN2/JPH1/SLC24A3/CACNG8/TRPV4/BCL2/RYR2/CXCL12/SLC8A2/SLC8A1/CACNA1A/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CACNB4/AHNAK/TRPM8/CALCA/CASR/UBASH3B/CAV3/TRPA1/CACNA2D2/CACNA2D4/HOMER2/ATG5/NOS1AP",54
"GO:0007416","synapse assembly","36/889","266/17512",0.135338345864662,2.66596750594146,6.33161947000424,7.6903506257116e-08,0.00012648063329087,0.00011754093798456,"CDH2/SEMA4D/LZTS1/LRFN5/CBLN2/EPHB3/NLGN1/IQSEC2/GABRA2/GABRA5/GABRB3/GABRG3/SLITRK5/GHSR/GPM6A/LRIT3/LRRTM1/APP/LHFPL4/ELFN1/MAP1B/MAPT/PLXNA1/SDK2/POU4F1/DOCK10/ADGRB1/RAP2A/KIRREL3/SHANK3/BSN/DCLK1/LARGE1/NRXN1/DOCK4/ELMO1",36
"GO:0050954","sensory perception of mechanical stimulus","29/889","194/17512",0.149484536082474,2.94462676701495,6.29854024586596,1.68340903398229e-07,0.000207648504341716,0.000192971835579654,"USH1C/GJB6/MYO3B/PHF24/FYN/GRM7/HTR2A/ESPNL/LHFPL4/KCNQ1/MBP/MYO6/MYO7A/MYO7B/ATP2B2/ROR1/ATP8B1/POU4F2/SOBP/CHD7/BARHL1/CXCL12/PIEZO2/CLRN1/CACNA1D/TRPA1/LARGE1/HOMER2/RIPOR2",29
"GO:0034762","regulation of transmembrane transport","51/889","480/17512",0.10625,2.0929696287964,5.61497129729325,4.93456336731363e-07,0.000484140998810983,0.000449921744036149,"SORBS1/WWP2/LRRC38/UBR3/GSG1L/ERFE/DAPK1/DPP6/FGF12/NLGN1/FYN/GRIN1/HTT/KCNIP1/HPCA/IL1B/KCNJ10/KCNQ1/ATP1B1/OPRM1/PDE4B/PRKAG2/PLCG1/POU4F2/TESC/CHD7/SCN3B/PRKD1/PSEN2/JPH1/CACNG8/BCL2/RNASEL/RTN2/RYR2/WNK2/SLC8A1/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CACNB4/KCNAB1/AHNAK/CALCA/KCNIP4/UBASH3B/KCNAB2/CAV3/ATG5/NOS1AP",51
"GO:1904062","regulation of monoatomic cation transmembrane transport","38/889","314/17512",0.121019108280255,2.3838994647962,5.72245050667248,6.22402525882697e-07,0.000484140998810983,0.000449921744036149,"WWP2/LRRC38/UBR3/DPP6/FGF12/FYN/GRIN1/HTT/KCNIP1/HPCA/KCNQ1/ATP1B1/PDE4B/PLCG1/TESC/CHD7/SCN3B/PRKD1/PSEN2/JPH1/BCL2/RYR2/WNK2/SLC8A1/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CACNB4/KCNAB1/AHNAK/CALCA/KCNIP4/UBASH3B/KCNAB2/CAV3/ATG5/NOS1AP",38
"GO:1901888","regulation of cell junction assembly","34/889","266/17512",0.12781954887218,2.51785820005582,5.76872027689881,6.86864003177317e-07,0.000484140998810983,0.000449921744036149,"SEMA4D/LZTS1/LRFN5/CBLN2/EPHB3/NLGN1/LIMCH1/IQSEC2/CNTNAP2/SLITRK5/GDF2/GHSR/FMN1/LRRTM1/APP/IL1B/LHFPL4/SMAD3/MAP1B/MYO1C/DOCK10/PRKCH/ADGRB1/PTPRA/PTPRJ/RAC1/RAP2A/PEAK1/DCLK1/NRXN1/ACVRL1/MAP4K4/DOCK4/ELMO1",34
"GO:0042391","regulation of membrane potential","49/889","465/17512",0.105376344086022,2.0757598848531,5.43712719996893,1.052545849382e-06,0.000649157652606352,0.000603274963145791,"WWP2/FGF12/NLGN1/KCNH3/ZMYND8/GABRA2/GABRA5/GABRB3/GABRG3/KCNV1/GLRA1/GNAQ/GRID1/GRIK1/GRIN1/CTNNA3/GSK3B/KCNIP1/APP/KCNA3/KCNA4/KCNC3/KCNJ10/KCNQ1/MAPT/MET/MTNR1B/ATP1B1/PRKN/SCN3B/PRKCZ/CELF4/GJD2/BCL2/RYR2/PIEZO2/SLC8A2/SLC8A1/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CACNB4/CASR/KCNAB2/SHANK3/CAV3/NRXN1/NOS1AP",49
"GO:1903522","regulation of blood circulation","33/889","265/17512",0.124528301886792,2.45302544729079,5.51176925110502,1.79621342846073e-06,0.000984724117336138,0.000915123473026309,"CELF2/HBEGF/AGTR1/EDNRB/EGFR/GNAO1/CTNNA3/KCNIP1/HTR1A/HTR2A/APP/ITGA9/KCNQ1/MTNR1B/ATP1B1/ATP2B2/PDE4B/RNLS/SCN3B/RYR2/SLC8A2/SLC8A1/TH/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CSRP3/SPX/CASR/CAV3/NOS1AP/DOCK4",33
"GO:0007215","glutamate receptor signaling pathway","13/889","55/17512",0.236363636363636,4.65601799775028,6.2799547702019,2.71314789794318e-06,0.00132266345614859,0.00122917714142113,"FYN/GNAQ/GRID1/GRIK1/GRIN1/GRM3/GRM4/GRM7/GRM8/APP/SHANK3/NRXN1/HOMER2",13
"GO:0050807","regulation of synapse organization","36/889","309/17512",0.116504854368932,2.29497526401433,5.31117082393,2.99187775306103e-06,0.00132266345614859,0.00122917714142113,"CDH2/SEMA4D/LZTS1/LRFN5/CBLN2/CTNNA2/EPHB3/NLGN1/IQSEC2/ZMYND8/FYN/SLITRK5/GHSR/GPM6A/GRID1/LRRTM1/APP/LHFPL4/MAP1B/PCDH8/KIF1A/DOCK10/CACNA2D3/PRMT8/ADGRB1/GPR158/PTPRO/RAP2A/SLC18A3/CAPRIN2/SHANK3/DCLK1/NRXN1/DOCK4/ELMO1/ARHGAP44",36
"GO:0034765","regulation of monoatomic ion transmembrane transport","39/889","349/17512",0.111747851002865,2.20126925395071,5.2421340925656,3.26954052476817e-06,0.00132266345614859,0.00122917714142113,"WWP2/LRRC38/UBR3/DPP6/FGF12/FYN/GRIN1/HTT/KCNIP1/HPCA/KCNJ10/KCNQ1/ATP1B1/PDE4B/PLCG1/TESC/CHD7/SCN3B/PRKD1/PSEN2/JPH1/BCL2/RYR2/WNK2/SLC8A1/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CACNB4/KCNAB1/AHNAK/CALCA/KCNIP4/UBASH3B/KCNAB2/CAV3/ATG5/NOS1AP",39
"GO:0010959","regulation of metal ion transport","43/889","403/17512",0.106699751861042,2.10182908277904,5.17494922956583,3.48492600930922e-06,0.00132266345614859,0.00122917714142113,"WWP2/LRRC38/UBR3/DPP6/FGF12/FYN/GRIN1/HTT/KCNIP1/HPCA/HTR2A/IL16/KCNQ1/ATP1B1/PDE4B/PLCG1/TESC/CHD7/SCN3B/PRKD1/PSEN2/JPH1/BCL2/RYR2/CXCL12/WNK2/SLC8A1/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CACNB4/KCNAB1/AHNAK/CALCA/KCNIP4/CASR/UBASH3B/KCNAB2/CAV3/HOMER2/ATG5/NOS1AP",43
"GO:0007216","G protein-coupled glutamate receptor signaling pathway","7/889","15/17512",0.466666666666667,9.19265091863517,7.3407415867183,3.81488930951168e-06,0.00133280422220305,0.00123860115459144,"FYN/GNAQ/GRM3/GRM4/GRM7/GRM8/HOMER2",7
"GO:0055074","calcium ion homeostasis","37/889","326/17512",0.113496932515337,2.23572360203441,5.20828079087044,4.05189771646649e-06,0.00133280422220305,0.00123860115459144,"ADCY8/PLCH1/PACS2/MICU3/GRIN1/HTT/HTR2A/APP/ITPR1/ATP1B1/ATP2B2/PLCG1/CHD7/PRKD1/PSEN2/JPH1/SLC24A3/TRPV4/BCL2/RYR2/CXCL12/SGCD/SLC8A2/SLC8A1/CACNA1C/CACNB2/CACNB4/TRPM8/CALB1/CALCA/CSRP3/CASR/UBASH3B/CAV3/TRPA1/ATG5/OSBPL2",37
"GO:0050803","regulation of synapse structure or activity","36/889","315/17512",0.114285714285714,2.25126144946167,5.18237275845075,4.657286764928e-06,0.00143619080613467,0.00133468033868595,"CDH2/SEMA4D/LZTS1/LRFN5/CBLN2/CTNNA2/EPHB3/NLGN1/IQSEC2/ZMYND8/FYN/SLITRK5/GHSR/GPM6A/GRID1/LRRTM1/APP/LHFPL4/MAP1B/PCDH8/KIF1A/DOCK10/CACNA2D3/PRMT8/ADGRB1/GPR158/PTPRO/RAP2A/SLC18A3/CAPRIN2/SHANK3/DCLK1/NRXN1/DOCK4/ELMO1/ARHGAP44",36
"GO:0007015","actin filament organization","46/889","453/17512",0.101545253863135,2.0002930097314,4.98828435563447,6.07259357845356e-06,0.0017624809832994,0.00163790821224419,"USH1C/WASF2/SORBS1/CNN1/PLEKHH2/CTNNA2/PHACTR1/LIMCH1/DAAM2/ARFIP2/RICTOR/GHSR/HCLS1/HIP1/ESPNL/FMN1/SMAD3/MET/MYO1C/MYO1E/MYO6/MYO7A/MYO7B/NEB/NPHS1/PRKN/BAIAP2L1/SPIRE1/RAC1/TRPV4/BCL2/RDX/CXCL12/TMOD1/CLRN1/SYNPO2L/BAIAP2L2/GAS7/SHANK3/CAV3/PDLIM1/MYADM/ARHGEF10/MICAL2/MTSS1/ELMO1",46
