"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","19/424","86/8309",0.22093023255814,4.3295030715226,7.19687274821039,4.31662927950809e-08,1.32520518880898e-05,1.2177438388507e-05,"1000/1496/29119/3680/55799/59283/6262/6444/6543/6546/775/776/781/783/785/8516/859/9254/93589",19
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","17/424","99/8309",0.171717171717172,3.36508957499524,5.48938809249956,9.00778320405373e-06,0.00138269472182225,0.00127057152562442,"3680/51422/55799/59283/6262/6444/6543/6546/775/776/781/783/785/8516/859/9254/93589",17
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","17/424","104/8309",0.163461538461538,3.20330642235123,5.24303311486954,1.77096596015722e-05,0.00181228849922755,0.00166532939411275,"114/3680/55799/59283/6262/6444/6543/6546/775/776/781/783/785/8516/859/9254/93589",17
NA,NA,"hsa04082","Neuroactive ligand signaling","23/424","197/8309",0.116751269035533,2.28793937362322,4.2422365919834,0.000165446022018151,0.0101529601894295,0.0093296531142366,"1103/114/2555/2558/2562/2567/2741/2775/2776/2897/2902/2913/2914/2917/2918/3350/3356/4988/6530/6571/6572/9568/9934",23
NA,NA,"hsa04517","IgSF CAM signaling","30/424","294/8309",0.102040816326531,1.99966307277628,4.04674533707245,0.000209996472297107,0.0101529601894295,0.0093296531142366,"1000/10580/137970/145581/22871/23136/23705/2534/26047/26050/2932/351/3739/4155/4627/4868/5335/5361/56288/57144/5879/5962/6091/6586/84552/84623/8497/9223/9788/9863",30
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","16/424","115/8309",0.139130434782609,2.72649712879409,4.32311834237687,0.000225502101735077,0.0101529601894295,0.0093296531142366,"114/2775/2776/2897/2902/2913/2914/2917/2918/3708/773/775/776/85358/9229/9455",16
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","19/424","151/8309",0.125827814569536,2.46580969636386,4.215067528989,0.000231500720931617,0.0101529601894295,0.0093296531142366,"114/185/2776/3784/481/491/55799/59283/596/6262/6543/6546/775/776/781/783/785/9254/93589",19
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","13/424","83/8309",0.156626506024096,3.0693623550807,4.39350941424304,0.00026639051491009,0.0102227360096747,0.00939377078893475,"481/55799/59283/6262/6543/6546/775/776/781/783/785/9254/93589",13
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","13/424","90/8309",0.144444444444444,2.83063417190776,4.04896155210894,0.000598155369103099,0.0204037442571835,0.0187491975344597,"114/2555/2558/2562/2567/27115/2775/4988/5137/5142/773/8622/9568",13
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","12/424","88/8309",0.136363636363636,2.67227701543739,3.65693765211833,0.00160836286952992,0.0474882037338194,0.0436373687662047,"114/2555/2558/2562/2567/2571/2572/2775/773/775/776/9568",12
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","11/424","77/8309",0.142857142857143,2.79952830188679,3.67859254577804,0.00170153172987627,0.0474882037338194,0.0436373687662047,"10163/1496/1759/26084/29119/3059/4233/53358/5879/859/9844",11
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","17/424","153/8309",0.111111111111111,2.1774109014675,3.40851714461316,0.00198975567130761,0.0477842742538903,0.0439094308247647,"114/1956/2775/2776/3708/4659/51422/55799/59283/6262/775/776/781/783/785/9254/93589",17
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","19/424","181/8309",0.104972375690608,2.05711195663505,3.33425451836638,0.00216263682271607,0.0477842742538903,0.0439094308247647,"10507/137970/2049/22854/2534/2932/4233/5335/5361/5590/56288/57144/57556/5879/6091/6387/658/6586/84552",19
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","24/424","251/8309",0.0956175298804781,1.87378786739833,3.25956437670407,0.00217908742525884,0.0477842742538903,0.0439094308247647,"114/185/1910/1956/2255/2264/2776/2902/291/3356/3708/4233/4803/491/5137/5257/5335/53373/6262/6543/6546/773/775/776",24
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","27/424","297/8309",0.0909090909090909,1.7815180102916,3.18036575615331,0.00245919494812748,0.0490190103712256,0.0450440417606325,"1956/2255/2264/25780/3553/4137/4217/4233/4803/55799/5608/5801/5879/5924/59283/773/775/776/781/783/785/80824/84867/9175/9254/93589/9448",27
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","12/424","93/8309",0.129032258064516,2.52860620815581,3.43745642428489,0.00259286091138132,0.0490190103712256,0.0450440417606325,"10163/10580/1496/1956/2534/29119/4088/4233/56288/5795/5797/5879",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","31/424","359/8309",0.0863509749303621,1.69219398749146,3.10900775962101,0.00271440774042618,0.0490190103712256,0.0450440417606325,"113091/116/185/1910/2555/2558/2562/2567/2587/2693/2741/2894/2897/2902/2908/2913/2914/2917/2918/3350/3356/4295/4544/4829/4988/59350/7253/796/80763/9568/9934",31
