"ONTOLOGY","TERM","N","DE","P.DE","FDR"
"BP","chemical synaptic transmission",777,89,2.17221352470252e-07,0.00162126776772047
"BP","anterograde trans-synaptic signaling",777,89,2.17221352470252e-07,0.00162126776772047
"BP","synaptic signaling",811,93,1.29626172911852e-07,0.00162126776772047
"BP","trans-synaptic signaling",783,89,3.39053413855385e-07,0.00189793624740898
"BP","inorganic ion transmembrane transport",947,93,4.84629037737141e-07,0.00217026575679447
"CC","cell junction",2367,217,9.54582478170351e-07,0.00305343660981605
"BP","calcium ion transmembrane transport",343,47,8.84267383328637e-07,0.00305343660981605
"BP","cell-cell signaling",1332,125,1.24277437080903e-06,0.00347837011709813
"CC","synapse",1644,160,1.71232989234028e-06,0.00426008651326568
"BP","calcium ion transport",440,53,2.73453358527879e-06,0.00529098289572253
"BP","monoatomic ion transmembrane transport",1040,98,2.96951287836761e-06,0.00529098289572253
"BP","monoatomic cation transmembrane transport",875,86,2.73620673376314e-06,0.00529098289572253
"BP","inorganic cation transmembrane transport",854,84,3.07189395937622e-06,0.00529098289572253
"CC","cell projection",2401,206,3.98851698366039e-06,0.00637906312722427
"CC","neuron projection",1332,132,4.85376915819467e-06,0.00705546004808563
"CC","plasma membrane bounded cell projection",2283,196,5.04163997898129e-06,0.00705546004808563
"MF","gated channel activity",303,41,6.30484041948229e-06,0.00830421657838988
"MF","calcium ion transmembrane transporter activity",148,27,7.51174495784539e-06,0.00934419340839534
"BP","transmembrane transport",1568,130,7.97890627123707e-06,0.00940293106943522
"CC","somatodendritic compartment",855,92,9.6640319544624e-06,0.0108193669746184
"MF","calcium channel activity",131,24,1.25636118113422e-05,0.0118659539801272
"MF","channel activity",489,53,1.27186322863228e-05,0.0118659539801272
"MF","passive transmembrane transporter activity",489,53,1.27186322863228e-05,0.0118659539801272
"CC","monoatomic ion channel complex",356,44,1.13795738340108e-05,0.0118659539801272
"BP","metal ion transport",891,86,1.49248552910254e-05,0.013367297392854
"BP","system process",2192,162,1.74486207523737e-05,0.0140027912757443
"CC","cation channel complex",225,32,1.75105245733036e-05,0.0140027912757443
"CC","GABA-ergic synapse",106,21,1.68568964716919e-05,0.0140027912757443
"MF","actin binding",434,57,3.02397806716716e-05,0.0225699643006466
"MF","metal ion transmembrane transporter activity",442,52,2.95301721018905e-05,0.0225699643006466
"BP","monoatomic ion transport",1266,108,3.57176624001615e-05,0.0251155756021889
"BP","regulation of monoatomic cation transmembrane transport",314,38,3.58938153396475e-05,0.0251155756021889
"MF","monoatomic ion channel activity",430,48,4.73535186223468e-05,0.0311850775139108
"BP","regulation of transmembrane transport",480,51,4.63495741305052e-05,0.0311850775139108
"MF","monoatomic cation channel activity",327,40,5.39793448779067e-05,0.0345329003188917
"BP","monoatomic cation transport",1062,93,6.1111039343562e-05,0.0380093689428249
"BP","cell junction assembly",513,60,7.52686881177719e-05,0.0455497620444603
"MF","inorganic molecular entity transmembrane transporter activity",708,68,7.90900043442482e-05,0.0466027444018963
"BP","sensory perception of mechanical stimulus",194,28,8.36102596064085e-05,0.0480030082781306
