"sample_id","file_name","idat_prefix","array_version","num_dtna","frac_dtna","num_dt","frac_dt","num_dt_mk","frac_dt_mk","num_dt_cg","frac_dt_cg","num_dt_ch","frac_dt_ch","num_dt_rs","frac_dt_rs","mean_intensity","mean_intensity_MU","mean_ii","mean_inb_grn","mean_inb_red","mean_oob_grn","mean_oob_red","na_intensity_M","na_intensity_U","na_intensity_ig","na_intensity_ir","na_intensity_ii","num_probes","num_probes_II","num_probes_IR","num_probes_IG","num_probes_cg","num_probes_ch","num_probes_rs","InfI_switch_R2R","InfI_switch_G2G","InfI_switch_R2G","InfI_switch_G2R","medR","medG","topR","topG","RGratio","RGdistort","mean_beta","median_beta","frac_unmeth","frac_meth","num_na","frac_na","mean_beta_cg","median_beta_cg","frac_unmeth_cg","frac_meth_cg","num_na_cg","frac_na_cg","mean_beta_ch","median_beta_ch","frac_unmeth_ch","frac_meth_ch","num_na_ch","frac_na_ch","mean_beta_rs","median_beta_rs","frac_unmeth_rs","frac_meth_rs","num_na_rs","frac_na_rs","bis_conv_score","qc_flag","qc_reason"
"SPL-DU-00001","209916850146_R01C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209916850146/209916850146_R01C01","EPICv2",2,2.13290106538408e-06,888156,0.947176459547312,888156,0.947176459547312,884611,0.947880100980228,2731,0.937199725463281,64,0.984615384615385,3303.70098102994,6607.40196205987,3232.18672078953,3263.54867024187,4026.58561917443,444.963515312916,707.506293094013,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82537,45212,73,473,7879,6435,37914,21527.5,1.22439782439782,1.43841253352497,0.57674846598634,0.729206406397862,0.33001184476601,0.513924355631218,49534,0.0528255606863676,0.578586969088473,0.733000193274027,0.3275756236357,0.51580525225212,48641,0.0521198990197717,0.0743141373659597,0.064111081503065,0.998901501281582,0,183,0.0628002745367193,0.5239047793386,0.480983014960926,0.359375,0.390625,1,0.0153846153846154,1.535113052187,"FLAGGED","elevated GCT"
"SPL-DU-00003","209916850146_R02C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209916850146/209916850146_R02C01","EPICv2",2,2.13290106538408e-06,846413,0.90265952001092,846413,0.90265952001092,843459,0.903784829820884,2210,0.75840768702814,60,0.923076923076923,3376.69025144824,6753.38050289649,3245.61116663969,3722.96127831892,4469.47686115482,448.737925190655,829.249852249097,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82531,45200,79,485,8789,7380,38493,24332.5,1.19092140921409,1.32834817982375,0.596244433373203,0.724402865900337,0.253916232383009,0.521205369010164,91277,0.0973424052725314,0.597841382308585,0.726185543098962,0.251562909400457,0.522848176378461,89793,0.0962151701791156,0.0930017016869597,0.0837522450468984,0.996380090497738,0,704,0.24159231297186,0.523971283205181,0.534493850933502,0.316666666666667,0.383333333333333,5,0.0769230769230769,1.32340282753253,"PASS","pass"
"SPL-DU-00006","210107670102_R01C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/210107670102/210107670102_R01C01","EPICv2",2,2.13290106538408e-06,898633,0.958349685609712,898633,0.958349685609712,895036,0.959050717276791,2781,0.954358270418668,65,1,2350.23794801682,4700.47589603365,2321.30433423566,2330.90016416767,2644.41675341968,284.557202517855,431.880606325928,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82529,45388,81,297,5055,4554,27687,15416,1.11001317523057,1.61799086540016,0.55442878541245,0.590519274870126,0.255501411588491,0.412701291851067,39057,0.041652358455353,0.556122394597856,0.59278397035385,0.252759665533006,0.414184457384954,38216,0.0409492827232087,0.0931739115879875,0.0835169995800026,0.998202085580726,0,133,0.0456417295813315,0.491285752410639,0.487177283988132,0.353846153846154,0.338461538461538,0,0,1.5155270202072,"FLAGGED","elevated GCT"
"SPL-DU-00007","209916850146_R04C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209916850146/209916850146_R04C01","EPICv2",2,2.13290106538408e-06,880377,0.938880523159089,880377,0.938880523159089,876766,0.9394740113067,2745,0.942004118050789,65,1,3302.25313697093,6604.50627394187,3243.12550083828,3133.94907518879,3974.64710688779,427.747367146835,645.42621210463,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82545,45237,65,448,7690,6131,37279.5,20545.5,1.25428152014353,1.44663290861391,0.469141906698781,0.415399482305094,0.426374155617423,0.342072771096928,57313,0.061121479380179,0.470590840523743,0.418746686221877,0.424260292940192,0.343302545947265,56486,0.0605259886933004,0.0747087727464881,0.0638451169305477,0.998178506375228,0,169,0.0579958819492107,0.527885540557129,0.514015483167544,0.292307692307692,0.353846153846154,0,0,1.56007480493222,"FLAGGED","elevated GCT"
"SPL-DU-00009","209916850146_R05C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209916850146/209916850146_R05C01","EPICv2",2,2.13290106538408e-06,879102,0.937520795829743,879102,0.937520795829743,875867,0.938510713076425,2442,0.838023335621139,65,1,2924.11294001843,5848.22588003686,2803.24934982141,2883.07743241764,4130.99892264859,345.26057983295,761.76331399803,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82547,44783,63,902,8007,5660,39558,19149,1.41466431095406,1.46027560366897,0.649228971631107,0.792473611737559,0.197769997110688,0.596176552891473,58588,0.0624812038093613,0.6511505815094,0.793730395900794,0.195058153806457,0.598207262061477,57385,0.0614892869235748,0.0846324595515727,0.0742990363790775,0.996314496314496,0,472,0.161976664378861,0.500169884245478,0.459856012594095,0.323076923076923,0.307692307692308,0,0,1.21896060315132,"PASS","pass"
"SPL-DU-00010","209916850146_R06C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209916850146/209916850146_R06C01","EPICv2",2,2.13290106538408e-06,886812,0.94574314697426,886812,0.94574314697426,883261,0.946433546351896,2706,0.928620452985587,65,1,3131.46883824897,6262.93767649794,3056.15103849428,3005.4768085805,3939.09074567244,406.304442561433,701.220488125205,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82543,45068,67,617,7666,5909,38279.5,19959.5,1.29734303604671,1.47829726641793,0.502381345100484,0.503927583477406,0.408122578404442,0.409676459046562,50878,0.0542588702023057,0.503878184614422,0.508133096675792,0.406006831502806,0.41115140371872,49991,0.0535664536481036,0.0885650571508661,0.0788459941500582,0.998152254249815,0,208,0.0713795470144132,0.526324754548438,0.525773046313239,0.230769230769231,0.276923076923077,0,0,1.49625807353261,"PASS","pass"
"SPL-DU-00011","209916850146_R07C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209916850146/209916850146_R07C01","EPICv2",2,2.13290106538408e-06,869293,0.927059960242639,869293,0.927059960242639,865905,0.927836211441283,2602,0.89293067947838,65,1,3008.35444252246,6016.70888504492,2911.17361220075,2877.85458027799,4032.67801113667,404.856579106646,702.574094341688,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82550,45043,60,642,7841,5638,38168,18408.5,1.39074139765874,1.49085229902566,0.595018433732624,0.790737779234572,0.309806935061021,0.5466695348979,68397,0.0729420170845375,0.596865103175513,0.793145578635023,0.307358197492797,0.548634088035062,67347,0.0721637885587173,0.0791700869603629,0.0689979374652624,0.998847040737894,0,312,0.10706932052162,0.575262156911246,0.510704082257108,0.230769230769231,0.415384615384615,0,0,1.49642929274836,"PASS","pass"
"SPL-DU-00012","209916850146_R08C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209916850146/209916850146_R08C01","EPICv2",2,2.13290106538408e-06,832956,0.888308264582676,832956,0.888308264582676,829800,0.889148911548006,2419,0.830130404941661,62,0.953846153846154,2408.68201363353,4817.36402726707,2319.23401981485,2684.40305351866,3132.59273090425,360.45176128798,566.646382839006,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82522,45326,88,359,5797,5148,37486.5,19620.5,1.12606837606838,1.69668047017586,0.645084547588098,0.817718280011245,0.223615653167754,0.602755727793545,104734,0.111693630090968,0.647110885389181,0.819065282608604,0.22090021691974,0.604887924801157,103452,0.110851088451994,0.0692075790059312,0.0602386506052432,0.999173212071104,0,495,0.169869595058339,0.450228952523398,0.493015781108223,0.32258064516129,0.209677419354839,3,0.0461538461538462,1.5673235175146,"FLAGGED","elevated GCT"
"SPL-DU-00013","209927710051_R01C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710051/209927710051_R01C01","EPICv2",2,2.13290106538408e-06,774385,0.825845057204529,774385,0.825845057204529,772012,0.827227801279826,1728,0.592999313658202,59,0.907692307692308,2096.7443030091,4193.48860601821,2037.11719152501,2136.44872496443,2658.99911632974,322.847730298995,741.622436248222,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82526,43878,84,1807,4734,3831,40652.5,24395,1.23570869224745,1.34856018824111,0.603676414596857,0.743355756090568,0.249282979396553,0.536061519786669,163305,0.174156704241274,0.605095947735664,0.744797848097883,0.24724615679549,0.537514960907343,161240,0.172772198720174,0.0799116393108757,0.0730059329526481,0.998842592592593,0,1186,0.407000686341798,0.51716322095,0.542132858563592,0.338983050847458,0.389830508474576,6,0.0923076923076923,1.20449505128295,"PASS","pass"
"SPL-DU-00014","209927710051_R02C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710051/209927710051_R02C01","EPICv2",2,2.13290106538408e-06,691697,0.737662207471995,691697,0.737662207471995,689507,0.738821883049809,1556,0.533973919011668,57,0.876923076923077,1727.34255583947,3454.68511167894,1665.08582357396,1962.63404837474,2207.19816002905,291.279899527902,595.197876764802,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82381,44195,229,1490,3679,3371,43793.5,26344.5,1.09136754672204,1.52317099103861,0.52979381597461,0.61690582262346,0.349206372154281,0.45153296891558,245993,0.262339365888513,0.531042038200664,0.619335527719897,0.347432295828759,0.452765526673406,243745,0.261178116950191,0.0783977277805155,0.0623708184725545,0.98586118251928,0.0006426735218509,1358,0.466026080988332,0.457051314578127,0.369027683115259,0.491228070175439,0.368421052631579,8,0.123076923076923,1.18402305821706,"FLAGGED","high NA"
"SPL-DU-00015","209927710051_R03C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710051/209927710051_R03C01","EPICv2",2,2.13290106538408e-06,849599,0.906057238655075,849599,0.906057238655075,846426,0.906964035437374,2405,0.825326012354152,65,1,2508.29201024221,5016.58402048443,2446.01908776083,2719.36972748167,3001.69694952185,372.151567606827,615.639750465142,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82497,45143,113,542,5505,5102,41132.5,24445,1.07898863190906,1.55947420565807,0.606757679682488,0.735028686190547,0.23778394277771,0.530954014776383,88091,0.0939446938753746,0.608586863469772,0.736863732547596,0.235171178579108,0.532775458220801,86826,0.0930359645626262,0.0731908251904823,0.0648947485581757,0.999168399168399,0,509,0.174673987645848,0.488076251095681,0.502664195365859,0.307692307692308,0.261538461538462,0,0,1.34890525580816,"PASS","pass"
"SPL-DU-00016","209927710051_R04C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710051/209927710051_R04C01","EPICv2",2,2.13290106538408e-06,859173,0.916267457832456,859173,0.916267457832456,855896,0.917111348274635,2495,0.85621139327385,65,1,3010.18062617843,6020.36125235686,2946.57470968985,3201.58950421364,3527.52318726546,438.02588064399,654.417554996169,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82515,45348,95,337,6704,6238,37365,22660.5,1.07470343058673,1.53428791091329,0.607493812300114,0.767167688267547,0.265981356490486,0.555922963128497,78517,0.083734496475381,0.609325049474783,0.768841337030785,0.263421023114958,0.55788436912896,77356,0.0828886517253646,0.088156985431756,0.078654222256764,0.997595190380761,0,419,0.14378860672615,0.490953065106161,0.518550816245429,0.323076923076923,0.261538461538462,0,0,1.41732836862217,"PASS","pass"
