"sample_id","tumour_purity_pct"
"SPL-DU-00001",81.9
"SPL-DU-00003",11.3
"SPL-DU-00006",61.3
"SPL-DU-00007",74.8
"SPL-DU-00009",59.2
"SPL-DU-00010",8.8
"SPL-DU-00011",10.7
"SPL-DU-00012",13.4
"SPL-DU-00013",70.5
"SPL-DU-00014",7.8
"SPL-DU-00015",54.4
"SPL-DU-00016",11
"SPL-DU-00020",9.3
"SPL-DU-00021",77.6
"SPL-DU-00022",64.8
"SPL-DU-00023",76.3
"SPL-DU-00024",30.3
"SPL-DU-00027",8.8
"SPL-DU-00029",8.5
"SPL-DU-00031",12.2
"SPL-DU-00033",8.7
"SPL-DU-00034",68.7
"SPL-DU-00037",8.5
"SPL-DU-00038",11.1
"SPL-DU-00039",12.7
"SPL-DU-00040",8.9
"SPL-DU-00041",61
"SPL-DU-00042",8.6
"SPL-DU-00043 T",11
"SPL-DU-00045",57.6
"SPL-DU-00048",9.9
"SPL-DU-00050",11.9
"SPL-DU-00052",78.1
"SPL-DU-00053 T",87.9
"SPL-DU-00054",80.7
"SPL-DU-00055 T",81.4
"SPL-DU-00056",49.9
"SPL-DU-00057",9.4
