"sample","predicted_class","top_class_probability","cpg","sample_beta","eps","p_plus","p_minus","dp_dx","abs_dp_dx","local_effect_for_eps","direction"
"SPL-DU-00001","ADC",0.8381,"cg02086195",0.185838814465122,0.02,0.838150002206839,0.838109131228791,0.00102177445120144,0.00102177445120144,2.04354890240288e-05,"increasing_beta_increases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg14642259",0.0607209198246979,0.02,0.838111315495186,0.838147813273989,-0.000912444470069218,0.000912444470069218,1.82488894013844e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg04029027",0.427992972595909,0.02,0.838111564969669,0.83814756346833,-0.000899962466519021,0.000899962466519021,1.79992493303804e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg13656404",0.245349192345575,0.02,0.838111670915204,0.838147466965089,-0.000894901247114332,0.000894901247114332,1.78980249422866e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg25840318",0.31996241752814,0.02,0.838112886305938,0.838146255025936,-0.000834217999950981,0.000834217999950981,1.66843599990196e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg03543448",0.738060708312794,0.02,0.838113540773815,0.83814559747785,-0.000801417600884701,0.000801417600884701,1.6028352017694e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg01980591",0.757668312114348,0.02,0.83811389927224,0.838145235128025,-0.000783396394632429,0.000783396394632429,1.56679278926486e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg24876960",0.0467738548080363,0.02,0.838144222868955,0.838114920476938,0.000732559800442623,0.000732559800442623,1.46511960088525e-05,"increasing_beta_increases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg25009327",0.930867531646629,0.02,0.838143566552911,0.83811556962773,0.000699923129518498,0.000699923129518498,1.399846259037e-05,"increasing_beta_increases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg13343687",0.915742331535458,0.02,0.83814346976945,0.838115658149079,0.000695290509275525,0.000695290509275525,1.39058101855105e-05,"increasing_beta_increases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg14757228",0.194680610515723,0.02,0.838116075039151,0.838143064762925,-0.000674743094364328,0.000674743094364328,1.34948618872866e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg06631310",0.158182239840338,0.02,0.838116346770943,0.838142792915976,-0.000661153625824973,0.000661153625824973,1.32230725164995e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg04382396",0.91235147727585,0.02,0.838116385660551,0.838142744707416,-0.000658976171624692,0.000658976171624692,1.31795234324938e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg02019444",0.113343742544669,0.02,0.838116453892621,0.838142678554197,-0.000655616539382842,0.000655616539382842,1.31123307876568e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg15735417",0.923424653646471,0.02,0.838116737001216,0.838142407730813,-0.000641768239931228,0.000641768239931228,1.28353647986246e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg18048953",0.521141698373732,0.02,0.83811733018997,0.8381418028395,-0.000611816238249573,0.000611816238249573,1.22363247649915e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg10101533",0.451616184432829,0.02,0.838117371808748,0.8381417821985,-0.000610259743796803,0.000610259743796803,1.22051948759361e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg14531663",0.14199960918298,0.02,0.838117780714081,0.838141370445555,-0.000589743286835698,0.000589743286835698,1.1794865736714e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg02792168",0.252292950846502,0.02,0.838118098640787,0.838141040292225,-0.00057354128595033,0.00057354128595033,1.14708257190066e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg02185675",0.715109400719556,0.02,0.838118138268525,0.838140998943263,-0.000571516868452803,0.000571516868452803,1.14303373690561e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg09571972",0.859696279095773,0.02,0.838118158100385,0.838140982825037,-0.000570618116307874,0.000570618116307874,1.14123623261575e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg18691800",0.0451643929417393,0.02,0.838140976576704,0.83811818461186,0.000569799121094561,0.000569799121094561,1.13959824218912e-05,"increasing_beta_increases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg02311374",0.887479331238556,0.02,0.838118319041298,0.838140821946122,-0.000562572620599333,0.000562572620599333,1.12514524119867e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg09330885",0.96054746505221,0.02,0.838118626810826,0.83814051899266,-0.000547304545842064,0.000547304545842064,1.09460909168413e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00001","ADC",0.8381,"cg22663389",0.479482692500769,0.02,0.838118638398731,0.838140497749092,-0.000546483759028548,0.000546483759028548,1.0929675180571e-05,"increasing_beta_decreases_top_prob"
"SPL-DU-00003","Unknown",0.5996,"cg24876960",0.0481618355415699,0.02,0.599442273948906,0.599720993527291,-0.00696798945962196,0.00696798945962196,0.000139359789192439,"increasing_beta_decreases_top_prob"
